model;brand;body_type;segment;usable_battery_kwh;real_range_km;efficiency_wh_km;zero_to_100_s;top_speed_kmh;towing_capacity_kg;price;charging_time_min;max_charging_power_kw;horsepower_hp;torque_nm;maintenance_cost_eur_year;seating_capacity;boot_capacity_l;adas_level;safety_rating_ncap;usage_type;energy_cost_eur_100km;insurance_rating;powertrain_type;fuel_type
Hyundai AA-66;Hyundai;Coupe;F;11,7;900;342;7,3;250;438;120403;33;0;355;599;712;2;200;2;5;Personal;5;10;Hybrid;Hybride Essence
Kia X-Class;Kia;SUV;D;0;1090;471;10,2;230;1819;50119;0;0;143;255;717;6;653;1;4;Commercial;9;6;Essence;Essence
Hyundai W8 Pro;Hyundai;Sedan;C;17,4;900;451;9,1;235;714;46334;43;0;186;275;483;5;396;1;5;Personal;5,55;3;Hybrid;Hybride Essence
Maserati 999;Maserati;SUV;E;0;1035;546;8,7;250;1652;73702;0;0;264;423;490;7;592;2;4;Personal;10,43;6;Essence;Essence
Alfa Romeo E7;Alfa Romeo;Wagon;C;13,1;900;356;10,2;227;1170;45293;29;0;142;207;479;5;664;1;4;Personal;5;3;Hybrid;Hybride Essence
Peugeot WW-3;Peugeot;Hatchback;C;0;1100;450;10;224;663;46738;0;0;157;316;695;5;433;1;4;Personal;6,08;4;Diesel;Diesel
Mazda QQ1;Mazda;Hatchback;B;0;887;540;11,7;188;729;28594;0;0;77;127;661;5;373;0;4;Personal;8,91;1;Diesel;Diesel
Citroën TT-7;Citroën;Crossover;D;0,9;900;500;9,1;247;1741;56765;0;0;199;294;589;6;730;1;4;Personal;8,77;6;Hybrid;Hybride Essence
Peugeot GG2;Peugeot;Crossover;C;0;859;572;8,6;249;1258;49044;0;0;198;398;517;6;564;1;4;Personal;9,43;5;Diesel;Diesel
Toyota NN-2;Toyota;Pickup;A;0;674;498;10,3;217;2500;29564;0;0;129;175;741;3;0;1;3;Sports;9,51;2;Essence;Essence
Fiat V-Class;Fiat;SUV;D;1,8;900;385;9,1;250;1860;64127;0;0;246;380;458;5;780;2;3;Personal;6,62;4;Hybrid;Hybride Essence
Renault RR-33;Renault;Hatchback;A;0;574;577;11,5;195;626;29596;0;0;128;204;472;5;380;1;4;Personal;11,03;4;Essence;Essence
Ford W-Class;Ford;SUV;D;0;1026;575;7,7;250;1748;65384;0;0;244;446;562;7;699;2;3;Personal;9,49;5;Diesel;Diesel
Mini NN7;Mini;Crossover;B;0;795;513;11,7;205;1634;32824;0;0;104;163;690;5;445;0;4;Personal;8,46;4;Diesel;Diesel
Audi K-Class;Audi;Hatchback;C;1,2;900;385;9,2;245;693;50269;0;0;184;242;539;5;375;1;4;Personal;6,62;4;Hybrid;Hybride Essence
Volkswagen T9;Volkswagen;Crossover;E;0;1013;621;7,4;250;1461;85941;0;0;308;535;883;5;626;2;4;Personal;10,24;7;Diesel;Diesel
Skoda UU2;Skoda;Sedan;B;1,2;860;486;12,1;203;774;30802;0;0;85;130;597;5;462;0;5;Personal;8,35;1;Hybrid;Hybride Essence
Ford P6x;Ford;Coupe;D;0,9;900;330;9,6;230;400;57146;0;0;160;283;434;2;259;1;4;Personal;5,68;5;Hybrid;Hybride Essence
Vauxhall D-Class;Vauxhall;Coupe;C;0;759;633;10,6;197;354;37456;0;0;102;198;523;2;284;0;4;Personal;10,44;1;Diesel;Diesel
Audi WW-33;Audi;SUV;E;0;1100;512;8,9;244;1906;71977;0;0;194;356;552;6;648;1;5;Commercial;8,45;6;Diesel;Diesel
Kia WW-33;Kia;Pickup;B;0;1060;450;11,1;209;2406;31005;0;0;88;142;719;3;0;0;3;Personal;7,02;3;Diesel;Diesel
Mercedes-Benz K9 Pro;Mercedes-Benz;Pickup;D;1,9;900;486;9,5;249;2357;63478;0;0;194;340;668;4;0;1;4;Personal;8,36;3;Hybrid;Hybride Essence
Seat K88;Seat;Hatchback;C;0;639;700;8,7;250;721;43620;0;0;205;287;383;5;401;1;5;Personal;14,88;5;Essence;Essence
DS Automobiles C-Class;DS Automobiles;SUV;C;1,6;900;447;10,8;221;1702;41107;0;0;153;270;605;7;747;1;4;Personal;6,64;5;Hybrid;Hybride Diesel
Renault P1;Renault;Crossover;C;0;727;641;10,6;188;1686;34655;0;0;84;150;493;5;614;0;5;Personal;12,24;3;Essence;Essence
Audi KK-2;Audi;Hatchback;C;14,9;900;300;9,9;250;705;46167;54;0;177;316;403;5;501;1;3;Sports;5;4;Hybrid;Hybride Essence
Fiat Q5;Fiat;SUV;C;0;646;668;10,2;208;1825;41011;0;0;137;198;433;6;525;1;5;Sports;12,76;4;Essence;Essence
Nissan O6;Nissan;Sedan;B;1,3;900;461;11,4;212;925;33967;0;0;109;149;489;5;590;0;4;Personal;7,92;3;Hybrid;Hybride Essence
Porsche B5;Porsche;MPV;C;1;900;430;9,6;232;1269;44794;0;0;146;236;272;5;665;1;4;Commercial;7,4;3;Hybrid;Hybride Essence
Cupra M55;Cupra;SUV;D;14,7;900;399;8,5;250;1885;65693;22;0;258;389;631;7;585;2;5;Personal;5,11;6;Hybrid;Hybride Essence
BMW W9 Pro;BMW;Wagon;C;1,9;900;465;12,1;205;1204;43390;0;0;114;170;528;5;822;0;5;Personal;8;3;Hybrid;Hybride Essence
Audi C55;Audi;SUV;B;0;604;630;10,5;167;1678;26449;0;0;70;110;461;6;515;0;4;Personal;12,04;3;Essence;Essence
Kia Z44;Kia;Hatchback;C;1,2;900;403;8,8;250;682;43233;0;0;189;310;568;5;498;1;4;Personal;6,93;4;Hybrid;Hybride Essence
Citroën T2x;Citroën;Convertible;C;12,3;900;306;11,3;204;7;43723;56;0;145;213;510;3;258;1;4;Personal;5;3;Hybrid;Hybride Essence
Jaguar H-Class;Jaguar;Hatchback;D;0;810;700;8,2;250;504;65308;0;0;252;370;466;5;429;2;3;Personal;13,58;6;Essence;Essence
Mazda MM-44;Mazda;Hatchback;E;0;966;639;8,5;250;447;75140;0;0;244;391;519;5;492;2;4;Personal;12,21;6;Essence;Essence
Mercedes-Benz O7x;Mercedes-Benz;SUV;C;0;816;581;9,7;237;1654;42934;0;0;156;240;500;5;657;1;4;Personal;9,58;3;Diesel;Diesel
Ford 555;Ford;Crossover;D;0;1100;457;9,6;250;1266;61594;0;0;236;449;717;6;694;1;5;Personal;7,53;6;Diesel;Diesel
Audi F-Class;Audi;SUV;A;0;504;700;10,4;174;1742;24225;0;0;70;119;364;6;548;0;5;Personal;15,4;2;Essence;Essence
Fiat TT3;Fiat;Hatchback;F;0;894;660;7,7;250;607;118311;0;0;334;580;584;5;400;2;4;Personal;12,62;9;Essence;Essence
Toyota II-3;Toyota;Sedan;C;0;896;499;9,4;213;911;39322;0;0;130;219;531;5;433;1;3;Personal;9,54;2;Essence;Essence
Volvo S4x;Volvo;Sedan;C;0;982;516;8,2;226;985;50107;0;0;201;359;438;5;566;1;4;Personal;8,5;4;Diesel;Diesel
Honda K-Class;Honda;Hatchback;B;0;952;452;10,1;202;735;32297;0;0;104;208;508;5;499;0;3;Sports;7,46;4;Diesel;Diesel
Mazda T-Class;Mazda;SUV;B;0;696;616;10,1;240;1852;33471;0;0;137;244;585;5;518;1;4;Personal;10,16;4;Diesel;Diesel
DS Automobiles F7 Pro;DS Automobiles;Hatchback;D;0;1100;473;8,9;250;814;54150;0;0;191;371;633;5;505;1;4;Personal;7,81;5;Diesel;Diesel
DS Automobiles D3x;DS Automobiles;Sedan;B;1;900;312;9,4;214;861;37921;0;0;157;208;584;5;386;1;4;Personal;5,36;2;Hybrid;Hybride Essence
Volvo P6 Pro;Volvo;Crossover;C;0;1100;450;9,4;231;1187;40341;0;0;150;285;497;7;690;1;4;Personal;7,37;2;Diesel;Diesel
BMW W6 Pro;BMW;Wagon;B;0;1100;450;9,9;225;991;30261;0;0;125;168;393;5;866;1;4;Personal;7,65;3;Essence;Essence
Suzuki MM-77;Suzuki;Sedan;F;11,7;900;423;5;250;960;115849;60;0;415;545;642;5;571;3;5;Personal;5,25;10;Hybrid;Hybride Essence
Cupra OO-77;Cupra;SUV;D;1,3;900;500;9,2;248;1824;57901;0;0;204;316;594;7;802;1;4;Personal;9,28;4;Hybrid;Hybride Essence
Opel AA-99;Opel;Sedan;E;12;900;462;7,3;250;983;73968;46;0;291;396;588;5;592;2;5;Personal;5,86;6;Hybrid;Hybride Essence
Lancia O2;Lancia;MPV;E;1;900;500;4,8;250;1541;95374;0;0;366;536;535;6;863;3;4;Commercial;8,68;8;Hybrid;Hybride Essence
Fiat U55;Fiat;Sedan;E;0;1100;526;7,8;250;926;85584;0;0;281;544;933;5;424;2;5;Personal;8,68;9;Diesel;Diesel
Volkswagen TT-9;Volkswagen;Sedan;C;1;900;369;11,7;184;889;37864;0;0;73;114;397;5;461;0;5;Personal;6,34;3;Hybrid;Hybride Essence
Subaru EE9;Subaru;SUV;B;0;772;571;10,6;197;1842;33210;0;0;103;198;402;6;521;0;4;Personal;9,43;3;Diesel;Diesel
Skoda B-Class;Skoda;Sedan;C;0;1011;507;9,9;222;757;42416;0;0;112;218;483;5;400;0;4;Sports;8,36;3;Diesel;Diesel
Kia N11;Kia;Hatchback;C;0;644;700;9,9;250;791;43536;0;0;182;280;663;5;404;1;5;Personal;13,82;4;Essence;Essence
Ford RR-88;Ford;Hatchback;D;0;1100;528;8,3;247;679;61126;0;0;201;415;689;5;307;1;4;Sports;8,71;6;Diesel;Diesel
Ford C1;Ford;Crossover;A;0;1058;450;9,8;212;1702;28624;0;0;148;238;803;7;480;1;4;Personal;6,36;2;Diesel;Diesel
Fiat V-Class;Fiat;Crossover;B;0;650;696;10,2;235;1308;32996;0;0;139;187;412;5;428;1;4;Personal;13,29;4;Essence;Essence
Opel UU2;Opel;Crossover;D;0;1100;488;9,6;250;1501;60430;0;0;214;313;542;5;683;1;4;Commercial;9,31;6;Essence;Essence
Hyundai T-Class;Hyundai;Wagon;B;1,6;900;420;11,3;195;1125;36465;0;0;91;153;626;5;617;0;5;Sports;7,22;2;Hybrid;Hybride Essence
Ford BB2;Ford;SUV;A;0;728;607;10,6;220;1672;30944;0;0;125;194;449;5;759;1;5;Commercial;10,01;3;Diesel;Diesel
Volvo Z1 Pro;Volvo;MPV;B;1,4;900;368;9,8;250;1275;42799;0;0;195;298;706;5;635;1;5;Personal;6,32;6;Hybrid;Hybride Essence
Land Rover RR-3;Land Rover;Wagon;D;0,8;900;472;9,2;218;1162;57118;0;0;157;249;548;5;736;1;5;Commercial;8,11;3;Hybrid;Hybride Essence
Audi Z8 Pro;Audi;Coupe;B;0;1053;450;11,5;202;660;36004;0;0;117;230;475;2;246;0;4;Personal;7,03;3;Diesel;Diesel
Jaguar H33;Jaguar;Wagon;B;0;902;450;8,5;215;1136;30948;0;0;129;223;322;5;732;1;4;Personal;8,45;3;Essence;Essence
BMW V-Class;BMW;SUV;B;12,5;759;500;11;199;1753;36504;50;0;144;204;599;6;778;1;4;Personal;6,04;3;Hybrid;Hybride Diesel
Audi Q4;Audi;Sedan;D;0;1091;548;7,6;250;1142;58303;0;0;262;434;835;5;471;2;5;Personal;9,04;5;Diesel;Diesel
Koenigsegg 111;Koenigsegg;SUV;B;0;885;473;10,1;220;1638;33859;0;0;159;301;636;6;514;1;4;Personal;7,8;2;Diesel;Diesel
BMW U22;BMW;Hatchback;A;13,6;900;300;11,2;218;606;34605;33;0;131;227;576;5;357;1;3;Commercial;5;2;Hybrid;Hybride Essence
Volkswagen D4 Pro;Volkswagen;SUV;E;0;1100;450;7,9;250;1429;77356;0;0;298;474;710;7;493;2;5;Personal;6,34;7;Diesel;Diesel
Volkswagen DD-8;Volkswagen;Hatchback;E;0;1100;497;8;250;646;84929;0;0;281;466;729;5;460;2;4;Personal;9,5;6;Essence;Essence
Fiat R8;Fiat;Hatchback;B;18;900;436;10,7;223;783;33051;31;0;142;201;682;5;389;1;4;Personal;5,63;4;Hybrid;Hybride Essence
Kia B2x;Kia;MPV;B;0;970;487;9,7;207;1249;29964;0;0;116;185;223;6;740;0;4;Personal;8,03;3;Diesel;Diesel
Volkswagen N-Class;Volkswagen;Crossover;B;1,7;871;500;8,7;245;1517;38775;0;0;180;264;519;5;685;1;4;Personal;8,11;3;Hybrid;Hybride Diesel
Mazda H99;Mazda;Crossover;D;0;1100;450;9,7;245;1395;55106;0;0;175;342;531;6;612;1;4;Personal;7,42;5;Diesel;Diesel
Ford U-Class;Ford;SUV;B;0;842;580;10,3;211;1777;34674;0;0;127;244;599;7;625;1;5;Personal;9,58;3;Diesel;Diesel
Audi 333;Audi;Crossover;E;8,9;900;400;8,5;250;1452;79518;29;0;229;352;540;5;465;1;5;Personal;5;8;Hybrid;Hybride Diesel
Audi F3;Audi;MPV;D;0;1100;469;9,3;250;1199;59408;0;0;234;446;694;8;833;1;3;Personal;7,74;5;Diesel;Diesel
Mini FF-9;Mini;Crossover;C;17;900;355;9,5;250;1521;53561;40;0;219;330;622;5;553;1;3;Personal;5;5;Hybrid;Hybride Essence
Ford G8 Pro;Ford;Crossover;A;0;487;687;10,8;204;1458;22645;0;0;70;100;262;7;642;0;4;Personal;13,13;3;Essence;Essence
Toyota KK-55;Toyota;SUV;E;0;997;582;8,7;250;1803;74296;0;0;244;420;335;5;462;2;5;Personal;11,11;4;Essence;Essence
Ford 888;Ford;SUV;D;1,3;900;447;8,3;248;1788;56518;0;0;196;260;658;7;506;1;4;Commercial;7,68;6;Hybrid;Hybride Essence
BMW WW5;BMW;Wagon;D;0;1100;450;7,4;250;1119;63008;0;0;248;499;549;5;864;2;3;Personal;6,12;5;Diesel;Diesel
Seat N2x;Seat;Pickup;A;16,6;900;312;9,1;240;2500;33553;23;0;172;291;759;3;0;1;5;Personal;5;2;Hybrid;Hybride Essence
Hyundai OO-77;Hyundai;SUV;D;1,8;900;444;9,2;241;1647;57371;0;0;196;325;670;5;724;1;3;Personal;7,64;5;Hybrid;Hybride Essence
Peugeot A55;Peugeot;SUV;D;1,8;900;419;10,6;190;1822;47146;0;0;91;145;290;6;675;0;4;Personal;7,2;3;Hybrid;Hybride Essence
Hyundai DD-77;Hyundai;SUV;F;0;1100;616;6,4;250;1667;116021;0;0;381;747;633;6;494;3;5;Commercial;10,17;10;Diesel;Diesel
Volvo T5;Volvo;SUV;C;1,1;900;456;9,6;218;1797;46426;0;0;172;226;582;5;662;1;5;Sports;7,83;4;Hybrid;Hybride Essence
Hyundai V8;Hyundai;Pickup;C;0;1100;450;10,5;233;2500;48125;0;0;162;297;544;4;0;1;3;Personal;7,38;4;Diesel;Diesel
Ferrari M3;Ferrari;Wagon;C;0;1100;466;9,5;239;1089;46797;0;0;199;327;598;5;785;1;5;Personal;7,69;6;Diesel;Diesel
Skoda ZZ-88;Skoda;SUV;D;0;1001;578;8,7;221;1924;55035;0;0;190;355;481;5;741;1;5;Personal;9,53;6;Diesel;Diesel
Renault A-Class;Renault;SUV;E;0;1082;587;9;250;2015;73935;0;0;240;452;685;7;792;1;5;Personal;9,68;6;Diesel;Diesel
Renault RR9;Renault;SUV;C;0;800;588;9,8;202;1722;41563;0;0;131;184;531;5;766;1;4;Personal;11,22;3;Essence;Essence
Hyundai MM-9;Hyundai;Hatchback;B;1;900;398;10,1;214;683;37237;0;0;160;220;636;5;325;1;4;Personal;6,84;4;Hybrid;Hybride Essence
Mercedes-Benz R2x;Mercedes-Benz;SUV;A;0;645;589;10,1;244;1945;28416;0;0;125;199;519;7;577;1;4;Personal;11,25;3;Essence;Essence
BMW V33;BMW;Coupe;C;15,2;900;500;9,4;250;284;53158;45;0;235;417;516;3;222;1;5;Personal;6,43;4;Hybrid;Hybride Essence
Audi VV6;Audi;Crossover;E;0;1100;586;8,3;250;1504;76923;0;0;281;528;685;5;472;2;5;Personal;9,67;6;Diesel;Diesel
Audi XX-33;Audi;Sedan;A;0;491;700;10,7;191;864;23498;0;0;84;130;544;5;618;0;4;Personal;13,59;2;Essence;Essence
Ford W-Class;Ford;Wagon;C;0;723;633;9,3;226;1308;42754;0;0;180;319;559;5;666;1;5;Commercial;12,09;4;Essence;Essence
Seat C8x;Seat;Wagon;E;0;1002;605;10,9;250;1171;75975;0;0;211;361;724;5;889;1;5;Personal;11,55;5;Essence;Essence
DS Automobiles Q3x;DS Automobiles;Sedan;C;1,6;900;471;8;250;954;49497;0;0;227;378;456;5;615;1;4;Commercial;6,99;4;Hybrid;Hybride Diesel
Audi W9 Pro;Audi;Crossover;B;0;734;594;10;189;1401;34036;0;0;123;187;633;5;586;1;3;Commercial;11,35;4;Essence;Essence
Mazda E-Class;Mazda;Crossover;C;1,5;900;419;9,4;250;1614;45170;0;0;161;249;400;5;618;1;4;Personal;7,2;4;Hybrid;Hybride Essence
Alfa Romeo TT7;Alfa Romeo;Coupe;C;1,3;900;384;9,6;215;365;42994;0;0;131;188;607;3;227;1;3;Personal;6,59;3;Hybrid;Hybride Essence
Seat 111;Seat;Hatchback;B;16,2;900;420;9,1;223;804;41813;48;0;165;282;302;5;347;1;5;Sports;5;3;Hybrid;Hybride Diesel
Mini H22;Mini;Sedan;D;0;1050;595;9,2;248;909;61009;0;0;194;321;580;5;533;1;5;Personal;9,81;5;Diesel;Diesel
Cupra 888;Cupra;SUV;C;1,3;900;312;10;217;1517;42790;0;0;166;275;664;7;771;1;4;Personal;5,36;4;Hybrid;Hybride Essence
Mini HH4;Mini;Hatchback;D;0;1068;516;9,5;200;708;50178;0;0;123;214;474;5;416;1;5;Personal;9,85;2;Essence;Essence
Renault 777;Renault;SUV;C;0;800;579;9,8;240;1873;43036;0;0;143;258;573;5;525;1;4;Personal;9,56;3;Diesel;Diesel
Renault C1x;Renault;Wagon;A;0;586;670;10,9;179;1052;22202;0;0;70;100;524;5;655;0;5;Personal;12,79;2;Essence;Essence
Mazda D-Class;Mazda;Hatchback;B;0;672;597;9,6;216;598;33120;0;0;132;173;249;5;431;1;4;Personal;11,4;3;Essence;Essence
Citroën 666;Citroën;SUV;B;0;811;559;11,1;211;1811;33619;0;0;119;225;605;6;721;0;4;Commercial;9,23;1;Diesel;Diesel
Hyundai F6;Hyundai;Pickup;B;18;860;500;10,9;183;2439;29912;25;0;70;100;376;4;0;0;4;Personal;6,17;2;Hybrid;Hybride Essence
Toyota 888;Toyota;SUV;D;9,8;900;300;8,4;243;1840;55897;27;0;198;262;680;7;486;1;4;Personal;5;5;Hybrid;Hybride Essence
Toyota E9x;Toyota;SUV;B;0;631;672;11,8;213;1775;26112;0;0;72;122;528;5;538;0;5;Sports;11,09;1;Diesel;Diesel
Ford GG-5;Ford;Crossover;D;0;788;700;10,5;223;1342;56939;0;0;163;299;627;5;483;1;3;Personal;11,9;3;Diesel;Diesel
Mitsubishi PP-55;Mitsubishi;Sedan;B;15,8;900;351;9,6;229;1179;43272;36;0;180;284;412;5;567;1;3;Personal;5;4;Hybrid;Hybride Essence
Volkswagen GG-3;Volkswagen;Hatchback;B;0;512;700;10,8;191;659;30391;0;0;70;100;584;5;361;0;5;Sports;14,58;2;Essence;Essence
Volkswagen R4x;Volkswagen;Crossover;B;0;494;700;10,2;198;1515;32458;0;0;127;203;518;5;641;1;4;Commercial;15,27;3;Essence;Essence
Lexus 111;Lexus;SUV;C;1,9;900;411;9,6;237;2013;42734;0;0;150;225;354;6;497;1;4;Commercial;7,07;5;Hybrid;Hybride Essence
Volvo 111;Volvo;Sedan;D;0,9;900;411;9,4;241;1004;55363;0;0;187;288;495;5;408;1;4;Sports;7,07;5;Hybrid;Hybride Essence
Peugeot A66;Peugeot;Hatchback;D;13,8;900;439;10;239;766;53434;23;0;176;305;630;5;325;1;4;Personal;5,55;4;Hybrid;Hybride Essence
Fiat T9x;Fiat;Coupe;B;0;1023;450;10,1;225;627;33441;0;0;143;220;596;4;277;1;4;Sports;7,24;4;Diesel;Diesel
Hyundai 333;Hyundai;Hatchback;C;11,5;900;409;9,4;240;766;47166;47;0;187;293;641;5;304;1;4;Personal;5,53;4;Hybrid;Hybride Essence
Ford Q4 Pro;Ford;Wagon;D;0;923;597;10,2;221;1266;48258;0;0;121;168;473;5;707;1;4;Personal;11,4;3;Essence;Essence
Toyota TT-8;Toyota;SUV;C;1,3;862;500;9,3;250;1868;53377;0;0;216;301;718;6;549;1;5;Commercial;8,82;4;Hybrid;Hybride Essence
Seat M6 Pro;Seat;Crossover;A;0;692;579;11,6;191;1480;22962;0;0;70;112;655;7;583;0;4;Personal;11,05;2;Essence;Essence
Citroën E2 Pro;Citroën;Sedan;B;0;678;605;9,2;197;1029;30751;0;0;131;213;311;5;528;1;4;Personal;11,57;3;Essence;Essence
Saab OO-77;Saab;Hatchback;B;1,9;875;500;9,9;192;781;31350;0;0;93;149;570;5;403;0;4;Personal;8,12;3;Hybrid;Hybride Diesel
Opel 222;Opel;SUV;E;0;979;614;8,4;250;1524;76885;0;0;232;408;764;6;744;1;5;Personal;11,73;6;Essence;Essence
Toyota R55;Toyota;Wagon;C;0;678;652;11,5;218;1302;36493;0;0;94;159;557;5;817;0;3;Personal;12,46;2;Essence;Essence
Subaru 888;Subaru;Sedan;C;0;826;575;11,1;195;805;40963;0;0;124;173;513;5;527;1;4;Personal;10,99;2;Essence;Essence
BMW BB-9;BMW;SUV;D;1,6;900;409;9,5;246;1829;64317;0;0;207;335;409;6;650;1;4;Commercial;7,04;5;Hybrid;Hybride Essence
Volkswagen AA4;Volkswagen;SUV;C;1,5;900;456;10,3;225;1599;37650;0;0;124;200;481;5;661;1;4;Commercial;7,84;4;Hybrid;Hybride Essence
Renault I-Class;Renault;Sedan;D;0;1100;471;10;240;830;61025;0;0;203;329;504;5;434;1;5;Personal;9;6;Essence;Essence
Land Rover CC3;Land Rover;Crossover;A;17,1;900;300;9,9;209;1456;30068;51;0;133;201;629;5;589;1;3;Personal;5;4;Hybrid;Hybride Essence
Mazda C-Class;Mazda;Hatchback;C;1,7;900;413;7,7;250;764;53913;0;0;278;494;730;5;429;2;4;Commercial;6,13;5;Hybrid;Hybride Diesel
Audi RR-9;Audi;SUV;B;0;677;633;9,1;230;1729;33058;0;0;152;233;515;7;795;1;4;Personal;12,09;4;Essence;Essence
Jaguar N-Class;Jaguar;Hatchback;B;1,6;900;395;9,2;250;440;42379;0;0;187;317;442;5;364;1;4;Personal;6,79;5;Hybrid;Hybride Essence
Ferrari X2 Pro;Ferrari;SUV;C;14,4;900;338;10,3;208;1741;38207;53;0;99;153;248;7;710;0;4;Personal;5;4;Hybrid;Hybride Essence
Lamborghini II-11;Lamborghini;Sedan;D;1,6;900;376;11,1;220;854;51740;0;0;137;231;596;5;427;1;4;Personal;6,47;4;Hybrid;Hybride Essence
Porsche L7;Porsche;SUV;D;0;1037;557;10,1;248;1876;58407;0;0;193;333;670;7;484;1;4;Personal;9,19;4;Diesel;Diesel
BMW G-Class;BMW;SUV;D;1,7;900;500;7,8;250;1818;62898;0;0;286;373;365;6;819;2;4;Commercial;8,69;7;Hybrid;Hybride Essence
Renault E4;Renault;MPV;A;0;742;483;9,4;242;1108;42186;0;0;204;364;678;5;627;1;4;Personal;7,97;3;Diesel;Diesel
Toyota Z6 Pro;Toyota;SUV;F;0;1100;617;7;250;1833;113407;0;0;307;557;783;7;684;2;4;Personal;10,18;9;Diesel;Diesel
Renault H8;Renault;Coupe;A;1,9;889;416;9,5;189;700;26810;0;0;92;124;200;2;246;0;5;Personal;7,16;3;Hybrid;Hybride Essence
Honda 111;Honda;Sedan;D;0;1032;539;8,5;250;1040;57142;0;0;212;346;450;5;459;1;4;Personal;10,29;6;Essence;Essence
Renault CC7;Renault;SUV;D;0;1100;567;9,7;250;1571;56525;0;0;197;391;910;6;734;1;5;Personal;9,36;4;Diesel;Diesel
BMW 888;BMW;Hatchback;C;0;732;567;10,5;212;997;41477;0;0;138;240;536;5;359;1;4;Personal;10,83;3;Essence;Essence
Renault I11;Renault;SUV;C;1,5;900;365;9;250;1942;51385;0;0;195;291;837;6;474;1;4;Personal;6,27;5;Hybrid;Hybride Essence
Fiat 888;Fiat;Crossover;D;0;909;622;7,7;250;1690;61696;0;0;314;543;711;6;561;2;4;Personal;10,27;6;Diesel;Diesel
Audi H6 Pro;Audi;Coupe;D;17,6;900;500;7,8;250;318;66307;20;0;267;462;739;2;338;2;4;Personal;6,97;6;Hybrid;Hybride Essence
Mercedes-Benz Q5x;Mercedes-Benz;Crossover;B;0;712;575;8,4;250;1450;39775;0;0;205;424;583;6;683;1;4;Sports;9,48;4;Diesel;Diesel
Mini AA-1;Mini;Crossover;D;1,2;900;439;10,6;206;1571;52768;0;0;141;187;452;6;623;1;4;Sports;7,55;6;Hybrid;Hybride Essence
Opel G9;Opel;Hatchback;A;0;768;558;9,7;230;565;34026;0;0;148;227;394;5;468;1;4;Personal;9,2;2;Diesel;Diesel
Skoda W1x;Skoda;Hatchback;C;0;777;595;11,1;209;763;41934;0;0;122;186;636;5;477;1;4;Personal;9,81;2;Diesel;Diesel
Volkswagen Q1 Pro;Volkswagen;Coupe;D;1,1;900;312;6,6;250;696;65567;0;0;282;432;515;2;301;2;5;Commercial;5,36;5;Hybrid;Hybride Essence
Skoda N3x;Skoda;Hatchback;D;1,5;900;500;7,7;250;660;65737;0;0;269;456;494;5;400;2;3;Personal;9,26;7;Hybrid;Hybride Diesel
Citroën X7x;Citroën;Hatchback;C;0;831;597;9,8;227;904;43845;0;0;184;285;421;5;481;1;5;Personal;9,84;4;Diesel;Diesel
Nissan E2 Pro;Nissan;MPV;B;0;775;621;11,1;187;1284;28382;0;0;100;190;563;7;842;0;5;Personal;10,24;2;Diesel;Diesel
Renault DD-66;Renault;Pickup;C;0;1084;475;10;245;2277;39363;0;0;141;224;674;3;0;1;4;Personal;7,84;5;Diesel;Diesel
Jaguar GG6;Jaguar;Crossover;B;0;780;509;11;236;1396;27707;0;0;99;130;479;6;600;0;5;Personal;9,71;1;Essence;Essence
Porsche B4x;Porsche;SUV;C;0;653;700;9,7;250;1933;45213;0;0;175;280;515;5;490;1;5;Personal;13,44;3;Essence;Essence
BMW CC-1;BMW;Coupe;C;0;964;450;8,9;212;376;46319;0;0;161;257;729;2;344;1;4;Sports;8,32;3;Essence;Essence
Mercedes-Benz OO-9;Mercedes-Benz;Sedan;D;0;938;631;7,9;250;1030;61942;0;0;262;434;462;5;391;2;4;Personal;10,4;6;Diesel;Diesel
Mercedes-Benz A4;Mercedes-Benz;SUV;B;0;796;551;9,6;227;1873;38719;0;0;179;262;774;7;747;1;3;Personal;10,53;4;Essence;Essence
Nissan C1;Nissan;SUV;B;0;845;493;11,5;200;1837;28624;0;0;81;120;336;7;657;0;4;Personal;9,42;2;Essence;Essence
Mercedes-Benz P33;Mercedes-Benz;MPV;C;0;958;505;9,5;250;1131;45317;0;0;179;363;593;5;781;1;4;Personal;8,32;5;Diesel;Diesel
Vauxhall B-Class;Vauxhall;MPV;A;0;768;494;10,4;215;1236;26432;0;0;109;188;559;6;979;0;5;Personal;9,44;2;Essence;Essence
Hyundai UU4;Hyundai;Crossover;B;0;948;477;9,8;208;1702;32508;0;0;111;174;634;7;482;0;4;Personal;9,11;2;Essence;Essence
Ford E-Class;Ford;Hatchback;C;0;994;455;9,7;238;653;45084;0;0;198;405;426;5;394;1;4;Personal;7,51;4;Diesel;Diesel
Saab WW-22;Saab;SUV;C;0;857;512;10,1;229;1873;39703;0;0;165;262;568;5;722;1;4;Personal;9,78;5;Essence;Essence
DS Automobiles 555;DS Automobiles;Sedan;B;0;644;588;11,6;197;1141;29053;0;0;92;124;431;5;597;0;5;Personal;11,23;3;Essence;Essence
Volkswagen G8 Pro;Volkswagen;Convertible;C;0;937;575;9,3;238;31;45855;0;0;154;274;712;4;297;1;5;Personal;9,49;3;Diesel;Diesel
Seat HH8;Seat;Hatchback;E;0;1100;545;8,4;250;641;77979;0;0;251;504;575;5;452;2;4;Personal;8,98;7;Diesel;Diesel
